Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4056525,10.055434782608696,0.13037218,0.2079646017699115,0.2079646017699115,0.1670743,0.24789684,0.00029697196,0.19899066,0.0004950542,1.0
20000,1.3815749,14.655555555555555,0.5656034,0.572107765451664,0.572107765451664,0.097820334,0.24634607,0.00029108734,0.19702913,0.00048544264,1.0
30000,1.3732674,13.956456456456456,0.7219663,0.7436281859070465,0.7436281859070465,0.052689213,0.24661277,0.00028484548,0.19494851,0.00047524768,1.0
40000,1.3686894,9.872317596566523,0.89723307,0.9120171673819742,0.9120171673819742,0.027443137,0.24592146,0.0002786531,0.19288437,0.0004651334,1.0
50000,1.3596379,6.2887582659808965,0.95237523,0.9736263736263736,0.9736263736263736,0.0104249595,0.23969832,0.0002728961,0.19096535,0.00045573027,1.0
60000,1.3571444,4.496710526315789,0.9669585,0.9807692307692307,0.9807692307692307,0.007934347,0.24396347,0.00026698218,0.18899406,0.00044607086,1.0
70000,1.3462548,4.16147455867082,0.9661751,0.9720641489912054,0.9720641489912054,0.013744183,0.23611312,0.0002610711,0.1870237,0.00043641607,1.0
80000,1.3466623,3.8629737609329444,0.95904243,0.9625121713729309,0.9625121713729309,0.007329146,0.24464986,0.00025504042,0.18501346,0.00042656594,1.0
90000,1.3331414,3.6383866481223923,0.97559094,0.9837812789620018,0.9837812789620018,0.005405821,0.23839408,0.0002489033,0.18296775,0.000416542,1.0
100000,1.3183652,3.2360934182590233,0.97948724,0.9860110216193302,0.9860110216193302,0.005656178,0.23629309,0.00024290888,0.18096963,0.00040675112,1.0
110000,1.3219022,3.1294311624072546,0.9751036,0.9761021837659662,0.9761021837659662,0.012480663,0.2306707,0.00023702226,0.17900743,0.0003971363,1.0
120000,1.3137378,3.1977282288599076,0.9791315,0.9869528619528619,0.9869528619528619,0.0046543125,0.22948733,0.00023097968,0.1769932,0.00038726671,1.0
130000,1.3152145,3.1220115416323164,0.97526324,0.973217964565307,0.973217964565307,0.008759438,0.23159029,0.00022503661,0.17501217,0.0003775597,1.0
140000,1.3215073,3.391208791208791,0.9772072,0.9855199648968846,0.9855199648968846,0.006958089,0.23637857,0.00021898832,0.1729961,0.00036768086,1.0
150000,1.3154333,3.214949324324324,0.9673132,0.959493670886076,0.959493670886076,0.014869459,0.25911984,0.00021301651,0.1710055,0.00035792685,1.0
160000,1.3071699,2.955661124307205,0.98124754,0.9849683544303798,0.9849683544303798,0.00457792,0.23972705,0.0002070151,0.16900502,0.0003481246,1.0
170000,1.3024994,3.3065976714100906,0.9712326,0.9737408523461042,0.9737408523461042,0.0076657296,0.2264182,0.00020103808,0.16701268,0.00033836215,1.0
180000,1.3065388,3.176913425345044,0.97572404,0.9719665271966528,0.9719665271966528,0.0070279427,0.2388175,0.00019502564,0.16500853,0.0003285418,1.0
190000,1.3129934,3.060446247464503,0.98055017,0.9886409736308316,0.9886409736308316,0.005617218,0.24631535,0.00018900659,0.16300216,0.0003187107,1.0
