Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.3947685,15.01875,0.40010968,0.48635634028892455,0.48635634028892455,0.11670184,0.2500844,0.00029700255,0.19900085,0.0004951041,1.0
20000,1.3740358,13.204577968526467,0.8840363,0.9287749287749287,0.9287749287749287,0.029159775,0.23555164,0.00029073938,0.19691312,0.00048487433,1.0
30000,1.3745704,8.308988764044944,0.9501986,0.9877819548872181,0.9877819548872181,0.0072349166,0.24640085,0.0002848408,0.19494689,0.00047523982,1.0
40000,1.3455105,6.662068965517242,0.96526045,0.996937212863706,0.996937212863706,0.0025684761,0.24140692,0.00027890012,0.1929667,0.00046553678,1.0
50000,1.3446944,6.106276747503566,0.9677278,0.9950142450142451,0.9950142450142451,0.0036303597,0.24718268,0.00027294396,0.19098131,0.00045580833,1.0
60000,1.3408794,5.746288798920378,0.9699021,0.9945982444294396,0.9945982444294396,0.0025212765,0.24520905,0.0002670033,0.1890011,0.00044610532,1.0
70000,1.3407589,5.639202657807309,0.9708585,0.9960185799601858,0.9960185799601858,0.0025204525,0.24810006,0.000261035,0.18701166,0.0004363571,1.0
80000,1.3487025,5.673089700996678,0.96115524,0.978014656895403,0.978014656895403,0.009441181,0.24638377,0.0002550273,0.18500908,0.0004265445,1.0
90000,1.3687648,5.731443994601889,0.96189994,0.9831536388140162,0.9831536388140162,0.010269418,0.24334551,0.0002490048,0.18300158,0.00041670774,1.0
100000,1.3654046,5.890193370165746,0.96243614,0.9786059351276742,0.9786059351276742,0.010288255,0.24606895,0.0002429743,0.18099143,0.00040685796,1.0
110000,1.3698521,5.705921938088829,0.96672475,0.9852448021462106,0.9852448021462106,0.009495143,0.24610059,0.00023701112,0.17900367,0.00039711807,1.0
120000,1.3840861,5.7995937711577525,0.95848423,0.9742198100407056,0.9742198100407056,0.009973699,0.2357329,0.00023098229,0.17699409,0.00038727102,1.0
130000,1.3945132,5.698787061994609,0.9674347,0.9919408999328408,0.9919408999328408,0.0029758308,0.24108395,0.00022496887,0.17498963,0.00037744912,1.0
140000,1.4114473,5.72337575351641,0.96798587,0.9912693082605776,0.9912693082605776,0.0036300088,0.2532991,0.00021900251,0.1730008,0.00036770393,1.0
150000,1.3989869,5.529065969954278,0.9675657,0.9895561357702349,0.9895561357702349,0.0044814013,0.24195917,0.00021299573,0.17099856,0.00035789292,1.0
160000,1.3905877,5.730405405405405,0.96227795,0.9763673193787981,0.9763673193787981,0.00911746,0.24542363,0.00020695073,0.16898356,0.0003480195,1.0
170000,1.4013125,5.834699453551913,0.9518976,0.9638718473074301,0.9638718473074301,0.014370966,0.24455637,0.00020096026,0.16698673,0.00033823497,1.0
180000,1.3925157,5.74104124408384,0.9482508,0.9641649763353617,0.9641649763353617,0.012018897,0.23854482,0.00019497625,0.16499206,0.00032846112,1.0
190000,1.384563,5.731002017484869,0.9663807,0.9858965748824715,0.9858965748824715,0.0061046197,0.2470832,0.00018903604,0.16301198,0.0003187588,1.0
200000,1.3776354,5.702956989247312,0.9690382,0.9919408999328408,0.9919408999328408,0.0033768534,0.24706507,0.00018301848,0.16100614,0.00030893006,1.0
210000,1.3744376,5.531984334203655,0.9701746,0.9947882736156352,0.9947882736156352,0.0017489038,0.24817364,0.00017699509,0.15899836,0.0002990919,1.0
220000,1.3608525,5.441290322580645,0.97033024,0.9954867827208252,0.9954867827208252,0.0015139779,0.24577518,0.00017103441,0.15701143,0.0002893561,1.0
230000,1.3661566,5.4957819597663855,0.9686724,0.990914990266061,0.990914990266061,0.0029564064,0.24384177,0.00016502137,0.15500711,0.00027953475,1.0
240000,1.3714205,5.557452396585687,0.9705458,0.9927821522309711,0.9927821522309711,0.0027699743,0.24804878,0.00015903421,0.15301138,0.00026975578,1.0
250000,1.3589716,5.56086387434555,0.9700858,0.9914698162729659,0.9914698162729659,0.003930777,0.24300763,0.00015300345,0.15100111,0.00025990553,1.0
260000,1.3521192,5.476005188067445,0.9688297,0.9870466321243523,0.9870466321243523,0.0040147817,0.2463267,0.00014695522,0.14898506,0.0002500268,1.0
270000,1.3572854,5.581410678971655,0.96981794,0.9921052631578947,0.9921052631578947,0.0026038047,0.24674642,0.0001409936,0.14699782,0.00024028946,1.0
280000,1.3587958,5.62849533954727,0.9674337,0.9854014598540146,0.9854014598540146,0.0046627885,0.23827937,0.00013502817,0.14500935,0.0002305459,1.0
290000,1.3535986,5.600131752305665,0.9613872,0.9762219286657859,0.9762219286657859,0.0062360833,0.24002805,0.00012901858,0.14300619,0.00022073022,1.0
300000,1.3551339,5.6041114058355435,0.9597318,0.9749009247027741,0.9749009247027741,0.009999569,0.23856774,0.00012305999,0.14101997,0.00021099788,1.0
310000,1.3477825,5.545871559633028,0.9592847,0.9764243614931237,0.9764243614931237,0.006334904,0.24058118,0.00011702371,0.13900788,0.00020113862,1.0
320000,1.343515,5.7014725568942435,0.9545226,0.9725935828877005,0.9725935828877005,0.0100660715,0.24520338,0.00011100277,0.1370009,0.00019130441,1.0
330000,1.3487875,5.671105193075899,0.95994925,0.9806408544726302,0.9806408544726302,0.007229093,0.24345261,0.00010501037,0.13500343,0.00018151679,1.0
340000,1.3440942,5.644,0.9579185,0.976063829787234,0.976063829787234,0.006938285,0.24019058,9.90093e-05,0.13300307,0.00017171506,1.0
350000,1.3427423,5.638833664678595,0.961131,0.9814323607427056,0.9814323607427056,0.005357907,0.23621123,9.3047274e-05,0.13101573,0.0001619771,1.0
360000,1.341299,5.694014794889038,0.9615246,0.9825853985264568,0.9825853985264568,0.005764648,0.23738377,8.6989035e-05,0.12899633,0.00015208198,1.0
370000,1.3384198,5.555337262606418,0.9570905,0.9770341207349081,0.9770341207349081,0.006437734,0.23887114,8.10334e-05,0.1270111,0.00014235445,1.0
380000,1.3356967,5.64920424403183,0.9600796,0.9807819748177601,0.9807819748177601,0.005796148,0.24176008,7.498711e-05,0.12499568,0.0001324788,1.0
390000,1.3261324,5.551610782380013,0.95829207,0.9783180026281209,0.9783180026281209,0.006105504,0.24468389,6.893391e-05,0.12297795,0.0001225919,1.0
400000,1.3249784,5.499349804941483,0.9573252,0.9798570500324886,0.9798570500324886,0.0056136115,0.24046125,6.297857e-05,0.12099283,0.00011286485,1.0
410000,1.3224906,5.666888740839441,0.9578097,0.9806924101198402,0.9806924101198402,0.0065982337,0.24492346,5.6932276e-05,0.118977405,0.00010298925,1.0
420000,1.3203081,5.576058201058201,0.95753413,0.9808707124010554,0.9808707124010554,0.006070116,0.24052007,5.1000483e-05,0.11700015,9.330065e-05,1.0
430000,1.3169111,5.542184434270765,0.95510876,0.9797253106605625,0.9797253106605625,0.0071811723,0.24158144,4.5056608e-05,0.115018845,8.3592306e-05,1.0
440000,1.3139423,5.549045424621461,0.95376915,0.9771092217135383,0.9771092217135383,0.008777788,0.24045628,3.897121e-05,0.11299038,7.365283e-05,1.0
450000,1.3116617,5.542019543973941,0.9577484,0.9810457516339869,0.9810457516339869,0.005714654,0.2393543,3.3000695e-05,0.11100021,6.390099e-05,1.0
460000,1.3095673,5.503587736464449,0.9554944,0.9811197916666666,0.9811197916666666,0.006625846,0.24322554,2.7018623e-05,0.10900618,5.413027e-05,1.0
470000,1.3069348,5.594844679444812,0.95840204,0.9834656084656085,0.9834656084656085,0.0061380505,0.2450168,2.1012142e-05,0.107004,4.4319677e-05,1.0
480000,1.3060732,5.588815789473684,0.95944554,0.9835634451019066,0.9835634451019066,0.007291944,0.24384637,1.4995366e-05,0.104998425,3.4492274e-05,1.0
490000,1.3051631,5.48862897985705,0.95886517,0.9863901490602722,0.9863901490602722,0.0060138656,0.24341536,9.015925e-06,0.10300527,2.4725852e-05,1.0
