Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4083037,7.743231441048035,0.43665704,0.48336252189141854,0.48336252189141854,0.14527728,0.2465661,0.0002969615,0.19898716,0.000495037,1.0
20000,1.3756971,7.566895368782161,0.6728024,0.702054794520548,0.702054794520548,0.07814156,0.24173483,0.00029098665,0.19699551,0.0004852781,1.0
30000,1.3751503,7.321131447587354,0.8864002,0.9068219633943427,0.9068219633943427,0.03326702,0.2444472,0.0002850022,0.19500072,0.00047550348,1.0
40000,1.3673468,6.1919482386772104,0.94338524,0.9734004313443566,0.9734004313443566,0.01555423,0.24313557,0.00027898536,0.19299512,0.00046567604,1.0
50000,1.354116,5.916955017301038,0.955974,0.9778546712802768,0.9778546712802768,0.011872207,0.24435818,0.00027298005,0.19099332,0.00045586735,1.0
60000,1.3311821,11.267156862745098,0.90205836,0.9803439803439803,0.9803439803439803,0.010275357,0.24500944,0.00026702872,0.18900956,0.0004461469,1.0
70000,1.3204266,5.953375086986778,0.964296,0.9923558026407228,0.9923558026407228,0.004606028,0.2480931,0.0002609553,0.18698509,0.00043622695,1.0
80000,1.3075953,6.782101167315175,0.953633,0.9976653696498055,0.9976653696498055,0.0048484444,0.2372708,0.0002549482,0.18498273,0.00042641535,1.0
90000,1.2904135,5.716588314304903,0.9671671,0.9939556749496307,0.9939556749496307,0.0027186226,0.24045663,0.000248992,0.18299733,0.0004166869,1.0
100000,1.2690083,5.74949358541526,0.9686206,0.9918973666441594,0.9918973666441594,0.0034722842,0.24440388,0.00024298111,0.18099372,0.00040686908,1.0
110000,1.2395567,5.6100462656972905,0.96964747,0.9920687376074026,0.9920687376074026,0.0045214924,0.24390088,0.00023698258,0.17899418,0.00039707145,1.0
120000,1.2247539,5.680240320427236,0.9589065,0.9746328437917223,0.9746328437917223,0.011999447,0.2371028,0.0002310007,0.17700022,0.00038730097,1.0
130000,1.2057194,5.648702594810379,0.9649785,0.9840319361277445,0.9840319361277445,0.0069482513,0.23957527,0.00022501114,0.1750037,0.00037751812,1.0
140000,1.2020289,5.63262599469496,0.9664064,0.9874005305039788,0.9874005305039788,0.0069229193,0.24381666,0.00021899612,0.17299871,0.0003676936,1.0
150000,1.1722814,5.517601043024772,0.9657989,0.9856584093872229,0.9856584093872229,0.0060639065,0.24496095,0.00021297396,0.1709913,0.00035785735,1.0
160000,1.166897,5.49739921976593,0.96866673,0.9896036387264457,0.9896036387264457,0.0041103684,0.2460636,0.00020698168,0.16899388,0.00034806997,1.0
170000,1.1588873,5.555701179554391,0.9697565,0.991480996068152,0.991480996068152,0.0034718427,0.2492804,0.00020097707,0.16699235,0.0003382624,1.0
