Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4023066,3.914020517830972,-0.2979979,-0.29000734417763996,-0.29000734417763996,1.8176283,0.2536539,0.00029703538,0.19901179,0.00049515767,1.0
20000,1.3332236,1.7064245052859854,-0.09451063,0.04007786643178894,0.04007786643178894,0.7007814,0.2475581,0.00029098568,0.19699523,0.00048527657,1.0
30000,1.2587097,1.4882617382617382,0.0638756,0.1481664683841371,0.1481664683841371,0.29980388,0.24826288,0.00028500924,0.19500308,0.00047551503,1.0
40000,1.2075571,1.6548156009551604,0.090333395,0.13944262987272357,0.13944262987272357,0.6413611,0.2467951,0.00027897494,0.19299163,0.000465659,1.0
50000,1.1790947,1.8292338139666384,0.056376833,0.12770449328671812,0.12770449328671812,0.26635653,0.24520002,0.00027298793,0.19099598,0.00045588025,1.0
60000,1.1624886,2.338785046728972,0.105124876,0.1766777069161074,0.1766777069161074,0.27605852,0.2534451,0.00026703725,0.1890124,0.0004461608,1.0
70000,1.1696184,3.201089233347298,0.07383893,0.15758571369869218,0.15758571369869218,0.28544185,0.26361385,0.00026098164,0.18699388,0.0004362699,1.0
80000,1.1763688,3.272277227722772,0.12144506,0.18836566348089262,0.18836566348089262,0.22309573,0.2497435,0.00025502456,0.18500815,0.00042653998,1.0
90000,1.185643,3.017712745475549,0.13314861,0.17874168258273412,0.17874168258273412,0.23880567,0.24581456,0.0002489461,0.18298203,0.00041661193,1.0
100000,1.198715,2.6532993073277433,0.18268953,0.22772139750677212,0.22772139750677212,0.23235889,0.2517831,0.00024302615,0.18100871,0.0004069427,1.0
110000,1.2231847,3.2858369098712448,0.19093986,0.24161860502944021,0.24161860502944021,0.22881892,0.24656758,0.00023690467,0.1789682,0.00039694423,1.0
120000,1.2328678,2.4781401804302567,0.23872055,0.2752726732028855,0.2752726732028855,0.24229038,0.2496095,0.00023101545,0.17700513,0.00038732513,1.0
130000,1.2261931,2.1416876574307304,0.2550863,0.28053976843207934,0.28053976843207934,0.20751423,0.24290967,0.0002249483,0.17498274,0.00037741542,1.0
140000,1.2117896,2.4548275862068967,0.33057898,0.3398070020711023,0.3398070020711023,0.2204213,0.24919373,0.00021905461,0.17301819,0.00036778912,1.0
